dayRow,date,site,appName,id,userRatingCount,userRatingCountForCurrentVersion,averageUserRating,averageUserRatingForCurrentVersion,currentVersionReleaseDate,version,fileSizeBytes,releaseDate,releaseNotes,appId
"1",2024-01-12 16:32:38.153214,"Mayo Clinic","Mayo Clinic","bhDeRs2WOmNouNsBaXu8i22i2VTnda",2399,2399,3.34181,3.34181,"2023-12-14T18:58:43Z","11.0","144625664","2012-05-14T07:00:00Z",NA,523220194
"2",2024-01-12 16:32:38.153214,"Cleveland Clinic","MyClevelandClinic®","EjY95TL6hUzM5teegPJFz4d04pSBrQ",170,170,3.52353,3.52353,"2023-11-27T13:17:02Z","2.1.1722","171809792","2019-11-13T08:00:00Z",NA,1464300206
"3",2024-01-12 16:32:38.153214,"Johns Hopkins Medicine","Johns Hopkins Find Your Way","xMzFv3tuo1I4p5L2E6DwiXGhsvkJeY",7,7,4.85714,4.85714,"2023-10-12T05:10:36Z","2.1.0","79201280","2020-09-28T07:00:00Z",NA,1495861981
"4",2024-01-12 16:32:38.153214,"Mount Sinai","MyMountSinai","I0QbEEZSlVGxYkyDRq2dcXdrJrsWxa",2349,2349,4.39208,4.39208,"2024-01-08T18:50:07Z","10.6.4","139416576","2021-08-15T07:00:00Z",NA,1570642373
"5",2024-01-12 16:32:38.153214,"Penn Medicine","myPennMedicine","zDyuIbBTLK9hg20L3nOd3Qtgr31u1I",2147,2147,4.69539,4.69539,"2023-10-10T19:57:03Z","10.6.3","134878208","2019-01-29T05:39:33Z",NA,1440687165
"6",2024-01-12 16:32:38.153214,"Cedars-Sinai","Cedars-Sinai","jS8DgJS5xxPDDBvZyIaCAjGcPE1AJT",46693,46693,4.81216,4.81216,"2023-12-06T22:23:44Z","6.0.1","412906496","2015-10-11T11:47:43Z",NA,1034088603
"7",2024-01-12 16:32:38.153214,"Houston Methodist","MyMethodist","HcM3TchmGqu8U9k0UOtfDEslQQAa88",1671,1671,4.45542,4.45542,"2023-09-26T14:17:16Z","2.1.2","269273088","2019-02-05T04:18:40Z",NA,1025186416
"8",2024-01-12 16:32:38.153214,"NYU Langone Health","NYU Langone Health","SS6PRXmqt1aa8maGsP9yrHEcBNjuvE",15010,15010,4.63038,4.63038,"2023-11-27T16:07:21Z","2.11.2","119294976","2017-04-26T01:19:34Z",NA,1196929294
"9",2024-01-12 16:32:38.153214,"Stanford Health Care","Stanford Health Care MyHealth","B9XBFxoV5hpBNqHf5OIPDHkdDwx6W3",1011,1011,3.81899,3.81899,"2024-01-08T13:18:55Z","9.5","71610368","2015-01-28T10:53:19Z",NA,922978966
"10",2024-01-12 16:32:38.153214,"Northwestern Medicine","MyNM by Northwestern Medicine","LqU1rfZiQench1bC5QqB5YPffgb3Xa",1404,1404,2.82336,2.82336,"2023-10-06T14:38:18Z","1.26.0","125953024","2018-12-22T07:49:44Z",NA,1442290209
"11",2024-01-12 16:32:38.153214,"New York - Presbyterian","NYP Connect","fceqWdtMbpLcb5CIqRabDpAy0RWd6x",149,149,4.35569,4.35569,"2023-12-15T13:52:02Z","4.30","143859712","2016-01-02T23:17:20Z",NA,1067978515
"12",2024-01-12 16:32:38.153214,"Rush University Medical Center","My RUSH Mobile","CnryCeoaA7FDkZ2dyJZ6JG5aB6CYhd",7645,7645,4.72505,4.72505,"2023-12-13T15:55:58Z","3.15.1","124710912","2018-08-03T18:39:49Z",NA,1321588963
"13",2024-01-12 16:32:38.153214,"University of Michigan Health","MyUofMHealth","c2d3wxDqx3KNUIMNXJbp0uZzh6e7KJ",1580,1580,4.60316,4.60316,"2023-08-18T19:16:23Z","10.5.2","147333120","2019-06-18T16:34:26Z",NA,1452632342
"14",2024-01-12 16:32:38.153214,"Mass General Brigham, Inc","Patient Gateway","8O0PZ2VIpz5ZAuVjocWn68bxIACLz5",458,458,2.69651,2.69651,"2023-11-15T22:15:55Z","10.6.4","94074880","2016-12-02T04:11:58Z",NA,1175078347
"15",2024-01-12 16:32:38.153214,"Vanderbilt University Medical Center","My Health at Vanderbilt","5E60cWtjxPUnC28qT1EE2VtsBnAwbk",4261,4261,4.75194,4.75194,"2023-10-05T16:01:18Z","10.6.3","137094144","2016-05-24T17:08:56Z",NA,1114939674
"16",2024-01-12 16:32:38.153214,"Epic","MyChart","HUfnf7dFNkchDisyOtd6dBDMvzfQ0s",285400,285400,4.59518,4.59518,"2023-12-18T17:30:54Z","10.7.2","81920000","2010-09-14T08:14:14Z",NA,382952264
"17",2024-01-12 16:32:38.153214,"Kaiser Permanente","Kaiser Permanente","iyHSf33oEZ5LbN9cnGA5XXE821GMSw",284278,284278,4.75957,4.75957,"2024-01-11T14:03:49Z","5.20.2","379137024","2012-05-07T22:36:38Z",NA,493390354
"18",2024-01-12 16:32:38.153214,"Primary Care On Demand Wis.","Primary Care On Demand Wis.","BvLwe7iZ4SLMzuVuFRgyu0QfFHW3es",43,43,4.83721,4.83721,"2023-12-22T11:12:25Z","4.154.18","192529408","2023-09-14T07:00:00Z",NA,6462700069
"1",2024-01-13 10:05:47.920893,"Mayo Clinic","Mayo Clinic","218DAL34vlm7KbCOIIWj6f8BThQ3IL",2399,2399,3.34181,3.34181,"2023-12-14T18:58:43Z","11.0","144625664","2012-05-14T07:00:00Z",NA,523220194
"2",2024-01-13 10:05:47.920893,"Cleveland Clinic","MyClevelandClinic®","VtaAVRsgmVNvPWK6JiT4ZV9O07o5lj",170,170,3.52353,3.52353,"2023-11-27T13:17:02Z","2.1.1722","171809792","2019-11-13T08:00:00Z",NA,1464300206
"3",2024-01-13 10:05:47.920893,"Johns Hopkins Medicine","Johns Hopkins Find Your Way","YlTkcadznVeRw4gDFMh89NprhRrOjE",7,7,4.85714,4.85714,"2023-10-12T05:10:36Z","2.1.0","79201280","2020-09-28T07:00:00Z",NA,1495861981
"4",2024-01-13 10:05:47.920893,"Mount Sinai","MyMountSinai","ggcHmB7miqt5Vy8fvPJFjKJMkyNX85",2354,2354,4.39252,4.39252,"2024-01-08T18:50:07Z","10.6.4","139416576","2021-08-15T07:00:00Z",NA,1570642373
"5",2024-01-13 10:05:47.920893,"Penn Medicine","myPennMedicine","1TV5AG2CWw2RQlAaZDKO53iRT3pzJL",2147,2147,4.69539,4.69539,"2023-10-10T19:57:03Z","10.6.3","134878208","2019-01-29T05:39:33Z",NA,1440687165
"6",2024-01-13 10:05:47.920893,"Cedars-Sinai","Cedars-Sinai","iy2nBLyXLojDGmjVwz6A96hcAJV4r4",46693,46693,4.81216,4.81216,"2023-12-06T22:23:44Z","6.0.1","412906496","2015-10-11T11:47:43Z",NA,1034088603
"7",2024-01-13 10:05:47.920893,"Houston Methodist","MyMethodist","cPHcoGI5O8X4Nr1Hng7JdKWN3GkTci",1671,1671,4.45542,4.45542,"2023-09-26T14:17:16Z","2.1.2","269273088","2019-02-05T04:18:40Z",NA,1025186416
"8",2024-01-13 10:05:47.920893,"NYU Langone Health","NYU Langone Health","lxI08Sp3Ipg1OQzvVQtiTSFXjjy2eW",15010,15010,4.63038,4.63038,"2023-11-27T16:07:21Z","2.11.2","119294976","2017-04-26T01:19:34Z",NA,1196929294
"9",2024-01-13 10:05:47.920893,"Stanford Health Care","Stanford Health Care MyHealth","cYoXYKIPutu7OmNIkCltR1IGwarqH1",1011,1011,3.81899,3.81899,"2024-01-08T13:18:55Z","9.5","71610368","2015-01-28T10:53:19Z",NA,922978966
"10",2024-01-13 10:05:47.920893,"Northwestern Medicine","MyNM by Northwestern Medicine","K0Xe2mMFP3DH6vIKrw54nYl0p42DTp",1404,1404,2.82336,2.82336,"2023-10-06T14:38:18Z","1.26.0","125953024","2018-12-22T07:49:44Z",NA,1442290209
"11",2024-01-13 10:05:47.920893,"New York - Presbyterian","NYP Connect","QCO1TJiurafAFaCCLrqnPwqXeSeWNk",149,149,4.35569,4.35569,"2023-12-15T13:52:02Z","4.30","143859712","2016-01-02T23:17:20Z",NA,1067978515
"12",2024-01-13 10:05:47.920893,"Rush University Medical Center","My RUSH Mobile","Z55poVrJDRwLJRgivRCIzzELIT6qW2",7645,7645,4.72505,4.72505,"2023-12-13T15:55:58Z","3.15.1","124710912","2018-08-03T18:39:49Z",NA,1321588963
"13",2024-01-13 10:05:47.920893,"University of Michigan Health","MyUofMHealth","dJxBPNCRHpOD474XfFDVWNyBXzcsiO",1580,1580,4.60316,4.60316,"2023-08-18T19:16:23Z","10.5.2","147333120","2019-06-18T16:34:26Z",NA,1452632342
"14",2024-01-13 10:05:47.920893,"Mass General Brigham, Inc","Patient Gateway","ONaBte6Jrxaaf1GZYRGfNtY6wPJa4H",458,458,2.69651,2.69651,"2023-11-15T22:15:55Z","10.6.4","94074880","2016-12-02T04:11:58Z",NA,1175078347
"15",2024-01-13 10:05:47.920893,"Vanderbilt University Medical Center","My Health at Vanderbilt","KJ7uGz3tvnaZuxt3ry3YZMCVMd1oxG",4261,4261,4.75194,4.75194,"2023-10-05T16:01:18Z","10.6.3","137094144","2016-05-24T17:08:56Z",NA,1114939674
